1.0 , -0.5 , -1.49316 , 0.99792 , 40
1.0 , -1.0 , -2.9957199999999995 , -0.9976800000000001 , 30
1.0 , 0.0 , -1.99756 , 0.99938 , 80
1.0 , 0.5 , -2.49937 , 0.99986 , 20
1.0 , 1.0 , -2.9998 , 0.9999600000000001 , 20
1.5 , -0.5 , -2.4780900000000003 , -0.99498 , 40
1.5 , -1.0 , -2.98668 , -0.9972799999999999 , 20
1.5 , 0.0 , -1.9500799999999998 , 0.9862 , 50
1.5 , 0.5 , -2.4758400000000003 , 0.9944 , 30
1.5 , 1.0 , -2.98644 , 0.99724 , 70
2.0 , -0.6 , -2.4849999999996824 , -0.9728000000000001 , 40
2.0 , -0.8 , -2.7070879999995414 , -0.9793600000000001 , 40
2.0 , -1.0 , -2.92624 , -0.9845599999999999 , 30
2.0 , 0.0 , -1.7314 , 0.90424 , 30
2.0 , 1.0 , -2.92768 , 0.9848399999999999 , 70
2.2 , -0.2 , -1.9066240000003272 , -0.91192 , 60
2.2 , -0.4 , -2.1759120000001557 , -0.94008 , 40
2.2 , -0.6 , -2.417735999999718 , -0.95576 , 30
2.2 , -0.8 , -2.641031999999555 , -0.96404 , 20
2.2 , -1.0 , -2.8716800000000005 , -0.9726000000000001 , 20
2.2 , 0.0 , -1.5641200000000002 , 0.8167199999999999 , 320
2.2 , 0.2 , -1.9089760000003284 , 0.9114799999999998 , 120
2.2 , 0.4 , -2.171760000000153 , 0.9390000000000001 , 150
2.2 , 0.6 , -2.4118199999997203 , 0.9545 , 70
2.2 , 0.8 , -2.649711999999553 , 0.96614 , 80
2.2 , 1.0 , -2.8810399999999996 , 0.9746 , 60
2.4 , -0.05 , -1.4439549999998202 , -0.7263 , 110
2.4 , -0.1 , -1.25 , -0.0154 , 120
2.4 , -0.2 , -1.744892000000275 , -0.84666 , 60
2.4 , -0.4 , -2.054584000000082 , -0.9034599999999999 , 70
2.4 , -0.6 , -2.307619999999777 , -0.9249 , 30
2.4 , -0.8 , -2.571999999999569 , -0.9473 , 20
2.4 , -1.0 , -2.8057399999999997 , -0.9578999999999999 , 20
2.4 , 0.0 , -1.25 , -0.0154 , 181
2.4 , 0.1 , -1.25 , -0.0154 , 70
2.4 , 0.6 , -2.3254279999997682 , 0.93058 , 20
2.4 , 0.8 , -2.5619119999995705 , 0.9449400000000001 , 20
2.4 , 1.0 , -2.8132600000000005 , 0.9594999999999999 , 40
2.5 , -0.5 , -2.12164 , -0.89696 , 70
2.5 , -1.0 , -2.76554 , -0.9483799999999999 , 90
2.5 , 0.0 , -1.0904 , 0.020700000000000003 , 460
2.5 , 0.5 , -2.13582 , 0.9020399999999998 , 60
2.5 , 1.0 , -2.75966 , 0.94702 , 60
2.6 , -0.05 , -1.18068599999993 , -0.5201200000000001 , 160
2.6 , -0.1 , -1.3134720000001492 , -0.63832 , 50
2.6 , -0.2 , -1.5434640000002084 , -0.7539199999999999 , 50
2.6 , -0.4 , -1.9282880000000007 , -0.86272 , 90
2.6 , -0.6 , -2.2186919999998276 , -0.9010199999999999 , 50
2.6 , -0.8 , -2.4724719999995903 , -0.9224399999999997 , 40
2.6 , 0.05 , -1.1522599999999577 , 0.46440000000000003 , 100
2.6 , 0.1 , -1.3492060000001511 , 0.6508599999999999 , 80
2.8 , -0.1 , -1.0969940000001015 , -0.48874000000000006 , 210
2.8 , -0.2 , -1.3758920000001473 , -0.6768600000000001 , 30
2.8 , -0.4 , -1.7443599999998782 , -0.7982 , 30
2.8 , -0.6 , -2.058075999999922 , -0.85106 , 50
2.8 , -0.8 , -2.333735999999622 , -0.88452 , 30
2.8 , -1.0 , -2.61692 , -0.9127600000000001 , 30
2.8 , 0.0 , -0.8849599999999999 , -0.012220000000000003 , 100
2.8 , 0.1 , -1.1093920000001005 , 0.48911999999999994 , 180
2.8 , 0.2 , -1.3388960000001329 , 0.64788 , 100
2.8 , 0.4 , -1.7321759999998707 , 0.7882399999999999 , 80
2.8 , 0.6 , -2.0560439999999227 , 0.85174 , 80
2.8 , 0.8 , -2.3549039999996166 , 0.89018 , 50
2.8 , 1.0 , -2.6174999999999997 , 0.9125 , 30
3.0 , -0.2 , -1.1638920000000685 , -0.54586 , 50
3.0 , -0.4 , -1.5676879999998174 , -0.72502 , 60
3.0 , -0.6 , -1.9199680000000054 , -0.80708 , 70
3.0 , -0.8 , -2.221415999999649 , -0.8534200000000001 , 90
3.0 , -1.0 , -2.5086399999999998 , -0.8857200000000001 , 40
3.0 , 0.0 , -0.8400400000000001 , 0.03168 , 80
3.5 , -0.0 , -0.6674 , -0.01012 , 90
3.5 , -0.5 , -1.3495300000000001 , -0.61018 , 60
3.5 , -1.0 , -2.1702199999999996 , -0.7939800000000001 , 60
3.5 , 0.5 , -1.3273300000000001 , 0.59666 , 140
3.5 , 1.0 , -2.15542 , 0.7900200000000001 , 50
4.0 , -0.5 , -1.0144 , -0.45208000000000004 , 80
4.0 , -1.0 , -1.7814599999999998 , -0.6762999999999999 , 70
4.0 , 0.0 , -0.56396 , 0.012920000000000001 , 100
4.0 , 0.5 , -1.00778 , 0.4514 , 140
4.0 , 1.0 , -1.79724 , 0.68204 , 100
5.0 , -1.0 , -1.2096 , -0.4772 , 21
5.0 , -0.8 , -1.0302399999999785 , -0.4268 , 26
5.0 , -0.6 , -0.77112000000004 , -0.3232 , 32
5.0 , -0.4 , -0.5453599999999943 , -0.1974 , 21
5.0 , -0.2 , -0.4530399999999924 , -0.0832 , 27
5.0 , 0.0 , -0.438 , -0.0104 , 21
5.0 , 0.2 , -0.4415199999999898 , 0.1076 , 36
5.0 , 0.4 , -0.5970399999999841 , 0.2386 , 64
5.0 , 0.6 , -0.795520000000048 , 0.3272 , 55
5.0 , 0.8 , -0.9885359999999931 , 0.41542 , 60
5.0 , 1.0 , -1.2269 , 0.4858199999999999 , 40
